Sr_no,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Moisture,Quakers,Category_One_Defects,Category_Two_Defects,altitude_mean_meters,Total_Cup_Points
30,8,8,8,8.25,8,8.17,10,10,10,8.17,0,0,0,0,1200,86.58
31,7.92,8.25,8,8.33,8,8.08,10,10,10,8,0.08,0,0,2,1775.030545,86.58
32,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,0.11,0,0,1,1775.030545,86.5
33,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,0,0,2,1300,86.42
34,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,0,0,0,1300,86.33
35,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1,0,0,3,1775,86.25
36,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,0,0,1,1800,86.25
37,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,0,0,1,4,1775.030545,86.25
38,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,0,0,2,1,1775.030545,86.25
39,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,0.1,0,0,2,1775.030545,86.25
40,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,0,0,0,0,1941,86.17
41,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,0,1,9,1300,86.17
42,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,0.08,0,0,2,12,86.17
43,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,0.01,0,0,3,12,86.17
44,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12,0,0,0,1000,86.08
45,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11,0,0,2,1754,86.08
46,8.33,8,8,8,7.75,8,10,10,10,8,0.11,0,0,2,1250,86.08
47,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,0,0,0,0,1775.030545,86
48,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12,0,1,1,1200,86
49,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11,0,0,1,1860,86
50,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1,0,0,0,1650,86
51,7.75,8.08,8,8.25,8,8,10,10,10,7.92,0.01,0,0,4,1750,86
52,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,0,0,0,0,426.72,86
53,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1,1,0,3,1775.030545,85.92
54,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12,0,0,0,1650,85.92
55,8,8,8,8.17,7.83,8,10,10,10,7.92,0,0,1,0,1800,85.92
56,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08,1,0,0,1600,85.83
57,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1,0,0,4,1900,85.83
58,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12,0,0,3,1524,85.83
59,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1,0,0,1,1417.32,85.83
60,7.83,8,7.83,8.17,7.92,8,10,10,10,8,0.09,4,0,7,1775.030545,85.75
61,8,8,8,8.08,7.92,7.75,10,10,10,8,0.1,0,4,6,1775.030545,85.75
62,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0.12,0,0,1,1700,85.75
63,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1,0,0,3,1500,85.58
64,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11,0,0,0,1350,85.58
65,7.83,8,7.92,7.75,8.08,8,10,10,10,8,0,0,0,1,1775.030545,85.58
66,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,0.09,0,2,2,1680,85.5
67,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1,0,0,3,1900,85.5
68,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12,0,0,7,1900,85.5
69,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,0.12,0,0,1,1600,85.5
70,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,0.11,0,0,1,1731.264,85.5
71,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,0.1,0,0,18,1900,85.42
72,8.08,8,7.83,7.67,8,7.83,10,10,10,8,0.12,0,0,5,1950,85.42
73,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,0,0,4,6,1775.030545,85.42
74,8,8,8,7.67,7.75,8,10,10,10,8,0.11,0,0,1,1250,85.42
75,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,0.01,0,0,0,1400,85.42
76,8,8,8,7.83,7.83,7.75,10,10,10,7.92,0.1,0,0,0,1700,85.33
77,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,0.11,0,0,1,1770,85.33
78,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0,0,0,0,1300,85.33
79,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0.1,0,0,2,1300,85.33
80,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,0,0,0,2,1600,85.33
81,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,0,0,0,6,1200,85.33
82,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,0.05,0,0,2,1775.030545,85.33
83,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,0.1,0,0,3,1775.030545,85.33
84,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,0.1,2,0,2,1775.030545,85.25
85,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,0.11,0,0,0,1550,85.25
86,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,0.12,0,0,2,1550,85.25
87,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,0.11,0,0,3,1325,85.17
88,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,0,0,0,7,1400,85.17
89,7.75,8,7.58,8,8,7.92,10,10,10,7.83,0.11,1,0,8,1775.030545,85.08
90,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,0,0,0,0,2560,85.08
91,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,0.1,0,2,7,1700,85.08
92,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,0.11,0,2,2,1775.030545,85.08
93,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,0.11,0,0,8,2136,85.08
94,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,0.01,0,1,7,1775.030545,85.08
95,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,0,0,0,5,1775.030545,85.08
96,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,0,0,0,0,1775.030545,85.08
97,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,0.11,0,0,1,1800,85
98,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,0,0,0,3,1775.030545,85
99,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,0.12,1,1,1,1900,85
100,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,0.09,0,0,3,1300,85
101,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,0.11,5,0,7,1,85
102,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,0,0,0,5,1580,85
103,8,8,7.83,7.83,7.67,7.67,10,10,10,8,0.12,0,0,3,1100,85
104,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,0,0,0,0,1400,85
105,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,0,0,0,1,1775.030545,85
106,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,0.04,0,0,1,1325.88,85
107,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,0,6,1,2,1775.030545,84.92
108,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,0.12,0,0,1,1775,84.92
109,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,0.11,0,0,0,800,84.92
110,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,0.12,0,0,2,1620,84.92
111,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,0.11,0,0,3,1775,84.92
112,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,0.11,0,0,0,1200,84.92
113,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,0.11,0,0,2,1200,84.92
114,8,8,7.75,8,7.5,7.75,10,10,10,7.92,0.12,0,0,2,1000,84.92
115,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,0.06,0,1,9,1775.030545,84.92
116,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,0,0,0,0,350,84.83
117,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,0.12,0,0,1,1650,84.83
118,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,0,0,3,15,1775.030545,84.83
119,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,0.1,0,0,2,1750,84.83
120,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,0.1,0,0,4,1750,84.83
121,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,0.12,0,0,0,1775.030545,84.75
122,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,0.13,0,0,0,1800,84.75
123,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,0.11,0,0,4,1450,84.75
124,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,0.15,0,0,3,1200,84.75
125,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,0.18,0,0,2,925,84.75
126,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,0,0,0,2,1350,84.67
127,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0.12,0,0,7,1200,84.67
128,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,0.12,0,0,0,170,84.67
129,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,0.1,0,0,2,1150,84.67
130,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,0.1,0,0,1,1600,84.67
131,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,0.12,0,0,0,1750,84.67
132,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,0.1,0,0,3,1900,84.67
133,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,0.08,0,0,1,1750,84.67
134,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,0.11,0,0,4,1200,84.67
135,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,0,0,1,10,1775.030545,84.67
136,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0.11,0,0,0,1000,84.67
137,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,0,0,0,0,1550,84.67
138,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,0.11,0,0,0,2000,84.67
139,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,0.11,0,0,4,1310.64,84.67
140,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,0.12,0,0,4,1524,84.67
141,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,0.13,0,0,3,1200,84.67
142,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,0.11,0,0,3,1775,84.67
143,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,0,0,0,3,1775.030545,84.67
144,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,0.2,0,0,3,1750,84.67
145,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,0.11,0,0,5,1754,84.58
146,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,0,0,0,4,1500,84.58
147,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,0,1,0,5,1775.030545,84.58
148,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,0.1,0,0,2,1800,84.58
149,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,0.11,0,0,1,1524,84.58
150,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,0.09,0,0,0,1219.2,84.58
151,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,0,0,0,0,1550,84.58
152,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,0,0,0,5,1750,84.58
153,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,0,0,0,0,1775.030545,84.58
154,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,0,0,0,2,1750,84.58
155,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,0.12,0,0,2,1575,84.58
156,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,0.11,0,0,6,1800,84.58
157,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,0.12,0,0,2,1300,84.58
158,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,0.11,0,0,1,1100,84.58
159,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,0.1,0,0,2,1200,84.5
160,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,0.11,0,0,1,1750,84.5
161,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,0.1,0,0,1,1680,84.5
162,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,0.11,0,0,0,1700,84.5
163,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,0.12,0,1,0,1800,84.5
164,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,0,0,0,2,1100,84.5
165,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,0.11,0,0,2,1310.64,84.5
166,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,0.11,0,0,0,2000,84.5
167,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,0.12,0,0,0,1350,84.5
168,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,0.11,0,0,4,1500,84.5
169,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,0.11,0,0,2,1775.030545,84.5
170,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,0,0,0,4,1775.030545,84.5
171,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,0,0,2,0,1775.030545,84.5
172,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,0.1,0,0,3,1300,84.42
173,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,0,0,0,3,1400,84.42
174,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,0,0,0,1,1775.030545,84.42
175,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,0,0,0,3,1775,84.42
176,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,0.11,0,0,0,1200,84.42
177,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,0.11,0,0,1,1775.030545,84.42
178,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,0.12,0,2,4,900,84.42
179,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,0.2,0,0,2,1775.030545,84.42
180,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,0.11,0,0,4,1800,84.33
181,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,0.1,0,0,3,1500,84.33
182,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,0,3,0,5,1775.030545,84.33
183,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,0.11,1,0,2,1500,84.33
184,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,0,2,0,4,1775.030545,84.33
185,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,0.11,0,6,0,442,84.33
186,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,0,0,0,0,1800,84.33
187,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,0.12,0,0,1,1700,84.33
188,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,0,0,0,4,1275,84.33
189,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,0.02,0,0,2,1050,84.33
190,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,0,0,0,1,1493.52,84.33
191,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,0.04,0,1,1,1386.84,84.33
192,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,0.12,0,0,0,1000,84.25
193,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,0.12,0,0,0,1200,84.25
194,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,0.11,0,0,2,2560,84.25
195,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,0.11,4,0,4,1500,84.25
196,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,0.1,0,0,1,1099.4136,84.25
197,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,0.1,0,0,1,1400,84.25
198,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,0.11,0,0,3,1775,84.25
199,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,0.12,0,4,2,1775,84.25
200,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,0.12,0,0,0,1800,84.25
201,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,0.12,0,3,0,442,84.25
202,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,0.12,0,0,7,1620,84.25
203,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,0.12,0,0,2,1600,84.25
204,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,0.1,0,0,1,1219.2,84.25
205,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,0.11,0,0,2,1700,84.25
206,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,0.11,0,1,1,1775.030545,84.25
207,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,0.12,0,0,1,1450,84.25
208,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,0.12,0,0,0,1170,84.25
209,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,0.1,0,0,4,1400,84.25
210,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,0.13,0,4,29,1700,84.25
211,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,0.13,0,0,1,1700,84.17
212,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,0,0,0,2,1775.030545,84.17
213,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,0.09,0,0,2,1700,84.17
214,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,0.11,0,0,6,1116.7872,84.17
215,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,0.1,1,0,10,1565,84.17
216,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,0.1,0,0,2,3280,84.17
217,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,0,0,0,0,1775,84.17
218,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,0.12,0,0,0,1000,84.17
219,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,0,0,0,16,1150,84.17
220,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,0,0,0,0,1850,84.17
221,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,0.1,0,0,5,1606.5,84.17
222,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,0.13,0,0,0,1400,84.17
223,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,0.12,0,0,4,1530,84.17
224,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,0.11,0,0,0,1775.030545,84.17
225,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,0.08,0,0,0,250.5,84.17
226,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,0.11,0,0,3,1038.5,84.17
227,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,0.11,0,0,4,1310.64,84.17
228,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,0.11,0,0,2,1500,84.17
229,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,0,0,0,2,1750,84.17
230,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,0.11,0,0,2,1775.030545,84.17
231,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,0.11,0,0,1,1600,84.17
232,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,0.12,0,0,0,1775.030545,84.13
233,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,0,3,1,3,442,84.08
234,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,0.1,0,0,4,968,84.08
235,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,0.1,0,0,4,1775.030545,84.08
236,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,0,0,0,2,1775,84.08
237,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,0.1,0,0,10,1550,84.08
238,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,0.11,0,1,9,1775.030545,84.08
239,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,0.11,0,1,10,1480,84.08
240,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,0.09,0,0,15,1800,84.08
241,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,0.08,2,1,13,1775.030545,84
242,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,0.11,11,3,1,1800,84
243,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,0.1,0,0,5,1500,84
244,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,0.12,0,0,7,1706.88,84
245,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,0.11,0,2,7,1600,84
246,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,0.1,0,0,1,1219.2,84
247,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,0.1,0,0,0,1219.2,84
248,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,0.12,0,0,0,1480,84
249,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,0.12,0,0,0,1450,84
250,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,0.12,0,0,3,1775,84
251,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,0.09,0,4,40,1550,84
252,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,0.1,0,0,0,1260,84
253,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,0.11,0,0,1,1700,84
254,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,0,0,0,2,1200,84
255,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,0.12,0,0,0,1775.030545,84
256,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,0,0,0,0,1650,84
257,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,0.1,0,10,26,1700,84
258,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,0.06,0,0,0,1775.030545,84
259,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,0,0,0,3,890,83.92
260,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,0.11,0,0,5,1300,83.92
261,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,0.1,0,0,1,1350,83.92
262,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,0.11,2,0,7,934,83.92
263,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,0.11,0,0,3,1200,83.92
264,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,0.11,0,1,2,442,83.92
265,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,0,3,1,5,1775.030545,83.92
266,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,0,0,0,0,1775.030545,83.92
267,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,0,0,0,0,1775.030545,83.92
